"customerkey","datefirstpurchase","fullname","gender","maritalstatus","city","country","stateprovincename"
11035,"2020-02-06","Wendy Dominguez","F","M","Cranbourne","Australia","Victoria"
11036,"2022-01-22","Jennifer C Russell","F","M","National City","United States","California"
11037,"2022-01-20","Chloe M Garcia","F","S","Cliffside","Canada","British Columbia"
11038,"2020-02-07","Diana F Hernandez","F","M","Lavender Bay","Australia","New South Wales"
11039,"2020-02-07","Marc J Martin","M","M","Wollongong","Australia","New South Wales"
11040,"2022-04-03","Jesse Murphy","M","M","Tacoma","United States","Washington"
11041,"2022-01-14","Amanda M Carter","F","M","Glendale","United States","California"
11042,"2022-01-21","Megan J Sanchez","F","M","Los Angeles","United States","California"
11043,"2022-05-08","Nathan M Simmons","M","M","Glendale","United States","California"
11044,"2020-02-28","Adam L Flores","M","M","Hervey Bay","Australia","Queensland"
11045,"2022-04-10","Leonard G Nara","M","S","Matraville","Australia","New South Wales"
11046,"2020-02-06","Christine Yuan","F","M","Lavender Bay","Australia","New South Wales"
11047,"2020-02-03","Jaclyn D Lu","F","M","Geelong","Australia","Victoria"
11048,"2020-02-10","Jeremy Powell","M","M","Sunbury","Australia","Victoria"
11049,"2022-03-09","Carol C Rai","F","S","Chula Vista","United States","California"
11050,"2020-02-20","Alan Zheng","M","M","Hobart","Australia","Tasmania"
11051,"2022-12-29","Daniel Johnson","M","S","Caloundra","Australia","Queensland"
11052,"2020-02-17","Heidi Lopez","F","S","Matraville","Australia","New South Wales"
11053,"2022-01-17","Ana E Price","F","M","San Diego","United States","California"
11054,"2020-02-03","Deanna Munoz","F","M","Geelong","Australia","Victoria"
11055,"2020-01-31","Gilbert Raje","M","M","East Brisbane","Australia","Queensland"
11056,"2020-02-26","Michele L Nath","F","M","Newcastle","Australia","New South Wales"
11057,"2020-02-22","Carl J Andersen","M","M","Lane Cove","Australia","New South Wales"
11058,"2020-03-09","Marc Diaz","M","M","Findon","Australia","South Australia"
11059,"2022-02-18","Ashlee J Andersen","F","S","Townsville","Australia","Queensland"
11060,"2020-03-19","Jon L Zhou","M","M","Warrnambool","Australia","Victoria"
11061,"2020-03-13","Todd M Gao","M","M","Gold Coast","Australia","Queensland"
11062,"2022-01-07","Noah D Powell","M","M","Portland","United States","Oregon"
11063,"2022-01-12","Angela Murphy","F","S","Redmond","United States","Washington"
11064,"2022-01-25","Chase Reed","M","M","Downey","United States","California"
11065,"2022-02-10","Jessica Henderson","F","M","La Jolla","United States","California"
11066,"2022-05-31","Grace T Butler","F","M","Lebanon","United States","Oregon"
11067,"2022-08-18","Caleb F Carter","M","S","Port Orchard","United States","Washington"
11068,"2022-04-30","Tiffany Liang","F","S","Warrnambool","Australia","Victoria"
11069,"2020-04-17","Carolyn Navarro","F","S","Gold Coast","Australia","Queensland"
11070,"2020-04-28","Willie T Raji","M","M","Sunbury","Australia","Victoria"
11071,"2022-03-01","Linda Serrano","F","S","Hawthorne","Australia","Queensland"
11072,"2020-03-31","Casey Luo","F","S","St. Leonards","Australia","New South Wales"
11073,"2022-03-23","Amy Ye","F","S","Springwood","Australia","New South Wales"
11074,"2022-03-23","Levi A Arun","M","S","Cloverdale","Australia","South Australia"
11075,"2020-04-28","Felicia L Jimenez","F","S","Bendigo","Australia","Victoria"
11076,"2020-04-21","Blake Anderson","M","S","Wollongong","Australia","New South Wales"
11077,"2020-04-15","Leah Ye","F","S","Melton","Australia","Victoria"
11078,"2022-02-15","Gina E Martin","F","S","Cliffside","Canada","British Columbia"
11079,"2022-03-15","Donald Gonzalez","M","S","Geelong","Australia","Victoria"
11080,"2020-04-10","Damien Chander","M","M","Perth","Australia","South Australia"
11081,"2022-02-12","Savannah C Baker","F","M","Concord","United States","California"
11082,"2022-01-22","Angela L Butler","F","S","Fremont","United States","California"
11083,"2022-01-06","Alyssa F Cox","F","M","Lincoln Acres","United States","California"
11084,"2022-01-04","Lucas Phillips","M","S","Lebanon","United States","Oregon"
11085,"2022-12-06","Emily Johnson","F","S","Newport Beach","United States","California"
11086,"2022-07-02","Ryan Brown","M","M","Santa Monica","United States","California"
11087,"2022-02-25","Tamara L Liang","F","M","Chula Vista","United States","California"
11088,"2022-01-13","Hunter Davis","M","M","San Diego","United States","California"
11089,"2021-12-29","Abigail M Price","F","S","Long Beach","United States","California"
11090,"2020-08-07","Trevor Bryant","M","S","Los Angeles","United States","California"
11091,"2022-01-29","Dalton Perez","M","M","Haney","Canada","British Columbia"
11092,"2020-04-08","Cheryl A Diaz","F","M","East Brisbane","Australia","Queensland"
11093,"2020-04-07","Aimee A He","F","M","Wollongong","Australia","New South Wales"
11094,"2022-04-07","Cedric W Ma","M","S","Cranbourne","Australia","Victoria"
11095,"2020-04-01","Chad Kumar","M","S","Port Macquarie","Australia","New South Wales"
11096,"2020-04-11","Andrés Anand","M","M","North Sydney","Australia","New South Wales"
11097,"2020-04-04","Edwin R Nara","M","M","Warrnambool","Australia","Victoria"
11098,"2022-02-11","Mallory S Rubio","F","S","Rhodes","Australia","New South Wales"
11099,"2020-04-07","Adam Ross","M","M","Port Macquarie","Australia","New South Wales"
11100,"2020-04-16","Latasha L Navarro","F","S","Cloverdale","Australia","South Australia"
11101,"2020-04-29","Abby L Sai","F","S","Cranbourne","Australia","Victoria"
11102,"2022-07-16","Julia L Nelson","F","S","Sydney","Australia","New South Wales"
11103,"2020-04-15","Cassie Chande","F","S","Darlinghurst","Australia","New South Wales"
11104,"2020-05-04","Edgar A Sara","M","M","Gold Coast","Australia","Queensland"
11105,"2020-05-14","Candace Fernandez","F","S","Matraville","Australia","New South Wales"
11106,"2020-05-18","Jessie Liu","M","S","Warrnambool","Australia","Victoria"
11107,"2020-05-01","Bianca Lin","F","M","St. Leonards","Australia","New South Wales"
11108,"2020-05-03","Kari C Alvarez","F","S","Port Macquarie","Australia","New South Wales"
11109,"2020-05-10","Ruben D Kapoor","M","S","South Melbourne","Australia","Victoria"
11110,"2020-05-01","Curtis Yang","M","M","Darlinghurst","Australia","New South Wales"
11111,"2020-05-20","Meredith T Gutierrez","F","M","Geelong","Australia","Victoria"
11571,"2021-12-12","Joel Sai","M","M","Orleans","France","Loiret"
11112,"2020-05-25","Crystal C Wang","F","M","Hervey Bay","Australia","Queensland"
11113,"2022-02-01","Micheal A Blanco","M","M","Perth","Australia","South Australia"
11114,"2022-03-18","Leslie C Moreno","F","S","Rhodes","Australia","New South Wales"
11115,"2022-02-10","Alvin D Cai","M","M","St. Leonards","Australia","New South Wales"
11116,"2022-03-15","Clinton E Carlson","M","M","Sydney","Australia","New South Wales"
11117,"2020-05-06","April Deng","F","M","Matraville","Australia","New South Wales"
11118,"2022-07-10","Alvin M Zeng","M","S","Lavender Bay","Australia","New South Wales"
11119,"2022-02-03","Evan V James","M","S","Port Macquarie","Australia","New South Wales"
11120,"2020-05-14","Beth H Jiménez","F","S","Sydney","Australia","New South Wales"
11121,"2022-06-24","Orlando Suarez","M","M","Newcastle","Australia","New South Wales"
11122,"2022-02-21","Byron Vazquez","M","M","North Sydney","Australia","New South Wales"
11123,"2022-04-17","Philip A Alvarez","M","M","Sunbury","Australia","Victoria"
11124,"2020-05-05","Ross F Jordan","M","S","Warrnambool","Australia","Victoria"
11125,"2022-01-31","Dana J Navarro","F","S","Seaford","Australia","Victoria"
11126,"2020-05-28","Shaun Carson","M","M","North Ryde","Australia","New South Wales"
11127,"2022-04-10","Jan Edwards","F","M","San Gabriel","United States","California"
11128,"2022-06-19","Samantha Long","F","M","Renton","United States","Washington"
11129,"2020-08-06","Julia M Wright","F","S","Sedro Woolley","United States","Washington"
11130,"2022-12-09","Caroline L Russell","F","M","Lebanon","United States","Oregon"
11131,"2022-10-18","Amanda Rivera","F","M","Haney","Canada","British Columbia"
11132,"2022-04-09","Melissa E Richardson","F","S","Langford","Canada","British Columbia"
11133,"2022-12-30","Angela Griffin","F","S","Lake Oswego","United States","Oregon"
11134,"2020-05-03","Larry D Townsend","M","S","Perth","Australia","South Australia"
11135,"2022-04-18","Marcus L Harris","M","S","Burlingame","United States","California"
11136,"2022-01-03","Brianna D Morgan","F","S","Metchosin","Canada","British Columbia"
11137,"2022-07-31","Jasmine A Taylor","F","M","Spokane","United States","Washington"
11138,"2022-09-19","Lauren Davis","F","M","Glendale","United States","California"
11139,"2022-09-14","Tanya Moreno","F","S","Cloverdale","Australia","South Australia"
11140,"2022-03-19","Javier L Alvarez","M","S","Burbank","United States","California"
11141,"2022-05-16","Nicole Ramirez","F","M","Daly City","United States","California"
11142,"2022-02-13","Eduardo Patterson","M","S","Langford","Canada","British Columbia"
11143,"2022-06-15","Jonathan M Henderson","M","M","Lakewood","United States","California"
11144,"2022-01-25","Edward Hernandez","M","S","Ballard","United States","Washington"
11145,"2022-01-25","Jasmine L Coleman","F","S","Beaverton","United States","Oregon"
11146,"2022-02-05","Karla L Goel","F","S","Matraville","Australia","New South Wales"
11147,"2020-05-13","Ernest L Wu","M","M","Warrnambool","Australia","Victoria"
11148,"2022-03-07","Ross Vazquez","M","M","East Brisbane","Australia","Queensland"
11149,"2022-06-04","Theodore Gill","M","M","Hervey Bay","Australia","Queensland"
11150,"2022-03-27","Russell M Shen","M","S","Sunbury","Australia","Victoria"
11151,"2020-05-15","Melinda G Gill","F","S","Sydney","Australia","New South Wales"
11152,"2022-01-09","James J Williams","M","S","Puyallup","United States","Washington"
11153,"2022-03-29","Angela R James","F","M","Renton","United States","Washington"
11154,"2022-01-10","Megan G Walker","F","S","Woodburn","United States","Oregon"
11155,"2022-01-06","Hunter J Robinson","M","S","Burbank","United States","California"
11156,"2022-01-08","Maria Roberts","F","S","Lakewood","United States","California"
11157,"2022-07-24","Hannah E Long","F","M","Tacoma","United States","Washington"
11158,"2022-01-19","Jason K Wright","M","S","San Gabriel","United States","California"
11159,"2022-09-08","Brianna A Hughes","F","S","Woodland Hills","United States","California"
11160,"2022-02-21","Maurice M Tang","M","S","Concord","United States","California"
11161,"2022-06-01","Emily Wood","F","S","Concord","United States","California"
11162,"2022-02-18","Chase Cox","M","S","La Jolla","United States","California"
11163,"2022-05-01","Gabriel Wang","M","M","Spring Valley","United States","California"
11164,"2022-04-27","Devin Brooks","M","S","Torrance","United States","California"
11165,"2022-05-25","Jocelyn Alexander","F","M","Oakland","United States","California"
11572,"2021-12-09","Billy Moreno","M","M","Dunkerque","France","Nord"
11166,"2022-10-14","Ashley Martinez","F","S","Olympia","United States","Washington"
11167,"2022-01-07","Jasmine J Barnes","F","S","Issaquah","United States","Washington"
11168,"2022-01-15","David Rodriguez","M","S","Oakland","United States","California"
11169,"2022-05-26","Bryce Richardson","M","M","Coronado","United States","California"
11170,"2022-08-26","Carol T Howard","F","M","Burien","United States","Washington"
11171,"2020-08-20","Jonathan E Hill","M","S","Woodland Hills","United States","California"
11172,"2022-05-03","Gabrielle J Adams","F","M","Lynnwood","United States","Washington"
11173,"2022-03-02","Sarah F Thomas","F","S","W. Linn","United States","Oregon"
11174,"2022-07-13","Nicholas Robinson","M","M","Los Angeles","United States","California"
11175,"2020-08-28","Luis Wang","M","S","Beverly Hills","United States","California"
11176,"2022-02-02","Mason D Roberts","M","M","Haney","Canada","British Columbia"
11177,"2022-03-29","Jose M Flores","M","M","San Diego","United States","California"
11178,"2022-02-21","Nathan J Johnson","M","M","Lakewood","United States","California"
11179,"2022-03-12","Molly E Rodriguez","F","M","Beverly Hills","United States","California"
11180,"2022-03-17","April Anand","F","M","Chula Vista","United States","California"
11181,"2022-05-07","Devin P Martin","M","M","Los Angeles","United States","California"
11182,"2022-08-28","Stephanie Torres","F","S","Sedro Woolley","United States","Washington"
11183,"2022-04-30","Jasmine W Lee","F","S","Santa Cruz","United States","California"
11184,"2022-08-10","Meghan Hernandez","F","S","Concord","United States","California"
11185,"2022-02-21","Ashley Henderson","F","S","Metchosin","Canada","British Columbia"
11186,"2022-10-18","Sarah C Price","F","S","Palo Alto","United States","California"
11187,"2022-04-03","Jennifer S Cooper","F","M","Burien","United States","Washington"
11188,"2022-11-01","Catherine Morris","F","M","San Gabriel","United States","California"
11189,"2020-08-26","Lawrence W Blanco","M","S","Bellingham","United States","Washington"
11190,"2022-08-28","Carson Bryant","M","M","Beverly Hills","United States","California"
11191,"2020-08-11","Kristi E Perez","F","S","Colma","United States","California"
11192,"2022-06-23","James C Brown","M","M","Seattle","United States","Washington"
11193,"2022-02-25","Ian A Gray","M","M","Woodburn","United States","Oregon"
11194,"2022-03-13","Jacqueline R Price","F","M","Palo Alto","United States","California"
11195,"2022-04-14","Megan Henderson","F","M","Renton","United States","Washington"
11196,"2022-03-03","Alfredo Romero","M","M","Beaverton","United States","Oregon"
11197,"2022-05-02","Andrea Morris","F","M","Seattle","United States","Washington"
11198,"2022-02-05","Brooke Sanders","F","S","Santa Cruz","United States","California"
11199,"2022-03-18","Jacqueline Bennett","F","M","Burlingame","United States","California"
11200,"2022-02-07","Jason L Griffin","M","M","Victoria","Canada","British Columbia"
11201,"2022-07-01","Amanda Foster","F","M","Santa Monica","United States","California"
11202,"2022-09-15","Alexia L Price","F","M","Lakewood","United States","California"
11203,"2022-02-20","Luis D Diaz","M","M","Port Hammond","Canada","British Columbia"
11204,"2022-08-09","Destiny C Rivera","F","M","Beaverton","United States","Oregon"
11205,"2022-07-27","Abby Fernandez","F","M","Burien","United States","Washington"
11206,"2022-05-11","Blake Flores","M","M","Lynnwood","United States","Washington"
11207,"2022-01-31","Danielle Cox","F","S","Renton","United States","Washington"
11208,"2022-03-04","Maria Reed","F","M","Glendale","United States","California"
11209,"2022-03-25","Allison Evans","F","M","Lincoln Acres","United States","California"
11210,"2022-05-06","Edward J Wood","M","M","West Covina","United States","California"
11211,"2022-02-01","Samantha Russell","F","M","Haney","Canada","British Columbia"
11212,"2022-01-30","Chloe Campbell","F","M","Metchosin","Canada","British Columbia"
11213,"2022-03-28","Stephanie B Murphy","F","S","Edmonds","United States","Washington"
11214,"2022-08-14","Charles O Miller","M","S","Milwaukie","United States","Oregon"
11215,"2022-02-15","Ana Perry","F","M","Royal Oak","Canada","British Columbia"
11216,"2020-08-15","Jasmine A Torres","F","S","Portland","United States","Oregon"
11217,"2020-08-10","Natalie P Adams","F","S","Portland","United States","Oregon"
11218,"2022-02-28","Olivia Brown","F","S","Tacoma","United States","Washington"
11219,"2022-10-29","Charles Cook","M","M","Woodburn","United States","Oregon"
11220,"2022-03-14","Erica C Huang","F","M","Colma","United States","California"
11221,"2022-04-07","Nathan Perry","M","M","Lakewood","United States","California"
11222,"2022-11-01","Alexandra Rivera","F","M","Santa Monica","United States","California"
11223,"2022-01-29","Hailey I Patterson","F","S","Langley","Canada","British Columbia"
11224,"2020-08-07","Tiffany J Li","F","S","Burien","United States","Washington"
11225,"2022-06-22","Madison D Lee","F","M","Renton","United States","Washington"
11226,"2022-02-21","Sydney T Ross","F","M","W. Linn","United States","Oregon"
11227,"2020-08-03","Marshall D Chavez","M","S","Colma","United States","California"
11228,"2022-10-25","Ashley R Jones","F","M","El Cajon","United States","California"
11229,"2022-07-27","Adrian C Stewart","M","S","Redwood City","United States","California"
11230,"2022-07-16","Amber Turner","F","M","Santa Monica","United States","California"
11231,"2022-02-10","Dennis Zhang","M","M","Bremerton","United States","Washington"
11232,"2022-09-20","Hailey R Bryant","F","M","Everett","United States","Washington"
11233,"2022-02-08","Todd Li","M","M","Berkeley","United States","California"
11234,"2022-02-08","Anna Griffin","F","S","Long Beach","United States","California"
11235,"2022-07-04","Angel J Stewart","M","M","Ballard","United States","Washington"
11236,"2022-10-03","Jeremy Butler","M","S","Bellingham","United States","Washington"
11237,"2020-09-05","Clarence M Anand","M","S","Solingen","Germany","Nordrhein-Westfalen"
11238,"2020-01-06","Mayra Prasad","F","S","Birmingham","United Kingdom","England"
11239,"2020-01-19","Latoya C Goel","F","M","London","United Kingdom","England"
11240,"2020-02-27","Anne B Hernandez","F","M","Watford","United Kingdom","England"
11241,"2021-09-10","Lisa Cai","F","S","Les Ulis","France","Essonne"
11242,"2021-09-19","Larry Munoz","M","M","Versailles","France","Yveline"
11243,"2020-02-21","Robin V Alvarez","F","M","Esher-Molesey","United Kingdom","England"
11244,"2020-02-12","Alexis M Coleman","F","S","Runcorn","United Kingdom","England"
11245,"2020-09-26","Ricky D Vazquez","M","M","Hamburg","Germany","Hessen"
11246,"2020-10-03","Latasha Rubio","F","M","Hamburg","Germany","Hamburg"
11247,"2020-02-18","Claudia M Zhou","F","S","Lancaster","United Kingdom","England"
11248,"2022-07-14","Tristan P Alexander","M","M","Saint-Denis","France","Seine Saint Denis"
11249,"2020-10-09","Cindy A Patel","F","M","Sulzbach Taunus","Germany","Saarland"
11250,"2020-03-17","Shannon D Liu","F","M","Woolston","United Kingdom","England"
11251,"2022-10-18","Xavier Long","M","S","Haney","Canada","British Columbia"
11252,"2020-08-14","Nicholas D Thompson","M","S","Lemon Grove","United States","California"
11253,"2022-03-01","José M Hernandez","M","M","Victoria","Canada","British Columbia"
11254,"2022-11-23","Johnathan W Vance","M","M","Burien","United States","Washington"
11255,"2022-02-23","Colin Lin","M","M","Burien","United States","Washington"
11256,"2022-04-15","Katelyn L Hernandez","F","M","Lynnwood","United States","Washington"
11257,"2020-08-24","Jacqueline Powell","F","S","Newport Beach","United States","California"
11258,"2022-05-21","Xavier Hill","M","M","Palo Alto","United States","California"
11259,"2020-09-04","Victoria C Stewart","F","M","Salem","United States","Oregon"
11260,"2022-02-05","Katelyn L Kelly","F","M","Burlingame","United States","California"
11261,"2020-09-27","Stephanie Collins","F","M","San Diego","United States","California"
11262,"2022-02-27","Jennifer Simmons","F","M","Port Hammond","Canada","British Columbia"
11263,"2020-08-29","Trinity Richardson","F","M","Burien","United States","Washington"
11264,"2022-01-02","Eduardo Martin","M","S","Issaquah","United States","Washington"
11265,"2022-01-03","Elizabeth P Jones","F","M","Kirkland","United States","Washington"
11266,"2020-09-10","Taylor Howard","F","S","Port Orchard","United States","Washington"
11267,"2020-09-17","David Diaz","M","S","Burlingame","United States","California"
11268,"2022-05-29","Katelyn A Carter","F","M","Coronado","United States","California"
11269,"2022-08-22","Ryan W Foster","M","M","Daly City","United States","California"
11270,"2020-09-10","Robert L Lee","M","M","Lakewood","United States","California"
11271,"2020-09-27","Danielle C Reed","F","S","San Francisco","United States","California"
11272,"2020-09-19","Lauren L Martinez","F","S","Beverly Hills","United States","California"
11273,"2022-05-14","Nathan E Lal","M","M","La Jolla","United States","California"
11274,"2020-08-29","Kyle M Foster","M","M","Bellingham","United States","Washington"
11275,"2020-08-30","Jenny D Rai","F","M","Colma","United States","California"
11276,"2022-01-29","Nancy E Chapman","F","M","Cliffside","Canada","British Columbia"
11277,"2022-02-02","Charles P Jackson","M","M","Royal Oak","Canada","British Columbia"
11278,"2020-09-16","Jonathan Phillips","M","S","Edmonds","United States","Washington"
11279,"2022-03-03","Amanda S Cook","F","M","Everett","United States","Washington"
11280,"2022-07-01","Robert Collins","M","M","Lynnwood","United States","Washington"
11281,"2020-09-13","Megan J Barnes","F","S","Burbank","United States","California"
11282,"2020-08-31","Christian A Thomas","M","M","Burien","United States","Washington"
11283,"2022-05-29","Arturo Lal","M","M","Berkeley","United States","California"
11284,"2022-02-06","Theresa Serrano","F","M","Chula Vista","United States","California"
11285,"2022-07-27","Jeremy J Anderson","M","M","Fremont","United States","California"
11286,"2020-09-21","Hunter D Griffin","M","M","Torrance","United States","California"
11287,"2022-01-29","Henry B Garcia","M","M","Cliffside","Canada","British Columbia"
11288,"2022-03-05","Cindy K Sanchez","F","M","Burbank","United States","California"
11289,"2020-09-08","Maria S Carter","F","M","Downey","United States","California"
11290,"2020-09-20","Katelyn Sanchez","F","M","Lakewood","United States","California"
11291,"2020-09-04","Jenna Wright","F","M","Lemon Grove","United States","California"
11292,"2020-09-15","Seth Phillips","M","S","San Gabriel","United States","California"
11293,"2022-02-24","Luke S Long","M","S","Port Orchard","United States","Washington"
11294,"2022-09-25","Dalton P Clark","M","M","Issaquah","United States","Washington"
11295,"2020-09-25","Taylor G Lewis","F","S","Concord","United States","California"
11296,"2020-09-01","Haley Richardson","F","S","Everett","United States","Washington"
11297,"2020-09-26","Noah Coleman","M","S","Burbank","United States","California"
11298,"2020-09-12","Jon Luo","M","M","Chula Vista","United States","California"
11299,"2020-09-26","Orlando E Vazquez","M","M","Burbank","United States","California"
11300,"2022-01-31","Fernando Barnes","M","M","N. Vancouver","Canada","British Columbia"
11301,"2022-06-09","Cameron L Rodriguez","M","M","Ballard","United States","Washington"
11302,"2020-09-06","Spencer Russell","M","S","Corvallis","United States","Oregon"
11303,"2020-09-02","Julia Coleman","F","S","Edmonds","United States","Washington"
11304,"2022-03-20","Julia B Garcia","F","M","Portland","United States","Oregon"
11305,"2022-03-25","Sean A Evans","M","M","Chula Vista","United States","California"
11306,"2022-06-30","Micah A Zhou","M","M","Coronado","United States","California"
11307,"2020-09-04","Hunter P Rodriguez","M","M","Daly City","United States","California"
11308,"2022-09-07","Ian T Gonzales","M","M","Oregon City","United States","Oregon"
11309,"2022-07-09","Victoria Lewis","F","S","Beaverton","United States","Oregon"
11310,"2022-08-12","Erin A Sanders","F","S","San Francisco","United States","California"
11311,"2022-04-18","Gabrielle D Lopez","F","S","Lynnwood","United States","Washington"
11312,"2022-05-17","Sara Richardson","F","S","Lynnwood","United States","Washington"
11313,"2022-05-07","Trevor Jenkins","M","S","Port Orchard","United States","Washington"
11314,"2022-02-25","Mya Flores","F","S","Issaquah","United States","Washington"
11315,"2022-05-20","Hailey J Ward","F","S","Port Orchard","United States","Washington"
11316,"2022-01-12","Luke Allen","M","M","Langford","Canada","British Columbia"
11317,"2020-09-01","Victoria D Russell","F","S","Salem","United States","Oregon"
11318,"2022-10-17","Jessica Wilson","F","S","Edmonds","United States","Washington"
11319,"2020-09-09","Jade E Bailey","F","M","Oakland","United States","California"
11320,"2022-06-15","Morgan M Hill","F","M","Glendale","United States","California"
11321,"2022-02-23","Terrance D Raman","M","M","Burien","United States","Washington"
11322,"2022-03-24","Sydney Garcia","F","M","Bremerton","United States","Washington"
11323,"2020-09-10","Jose Patterson","M","S","Daly City","United States","California"
11324,"2020-09-26","Zachary Anderson","M","M","Glendale","United States","California"
11325,"2020-09-19","Elijah E Ross","M","S","Seattle","United States","Washington"
11326,"2020-09-15","Rafael M Xie","M","M","Beverly Hills","United States","California"
11327,"2020-09-26","Jaime C Moreno","M","M","Burbank","United States","California"
11328,"2022-01-05","Julian M Griffin","M","M","Newton","Canada","British Columbia"
11329,"2020-09-25","Andy Alvarez","M","S","Concord","United States","California"
11330,"2022-02-12","Ryan M Thompson","M","M","Oak Bay","Canada","British Columbia"
11331,"2022-02-07","Samantha Jenkins","F","M","Shawnee","Canada","British Columbia"
11332,"2020-10-15","Deanna D Ramos","F","S","Berlin","Germany","Nordrhein-Westfalen"
11333,"2020-03-21","Emily R Miller","F","M","Newcastle upon Tyne","United Kingdom","England"
11334,"2020-03-04","Nicole Brown","F","M","Stoke-on-Trent","United Kingdom","England"
11335,"2020-10-23","Carla L Raman","F","M","Hof","Germany","Bayern"
11336,"2021-09-27","Shaun Raji","M","M","Paris","France","Seine (Paris)"
11337,"2020-03-09","Jerome Romero","M","M","Watford","United Kingdom","England"
11338,"2020-10-11","Frank F Navarro","M","M","Bonn","Germany","Nordrhein-Westfalen"
11339,"2021-10-07","Dennis M She","M","S","Paris","France","Seine (Paris)"
11340,"2021-10-27","Melody C Munoz","F","M","Paris","France","Seine (Paris)"
11341,"2020-04-11","Randy A Zeng","M","M","Cheltenham","United Kingdom","England"
11342,"2022-07-12","Marshall L Wang","M","M","Boulogne-sur-Mer","France","Pas de Calais"
11343,"2020-04-04","Arthur P Carlson","M","M","Oxon","United Kingdom","England"
11344,"2020-05-13","Jessie Jimenez","F","M","Oxford","United Kingdom","England"
11345,"2021-10-22","Robin Ramos","F","S","Tremblay-en-France","France","Seine Saint Denis"
11346,"2021-10-01","Deanna E Gutierrez","F","S","Paris","France","Seine (Paris)"
11347,"2022-03-16","Roy T Navarro","M","M","Braunschweig","Germany","Nordrhein-Westfalen"
11348,"2022-03-31","Shawn Rai","M","M","Paderborn","Germany","Hamburg"
11349,"2023-01-13","Mindy J Luo","F","M","München","Germany","Hessen"
11350,"2022-02-05","Cara Zhou","F","M","Peterborough","United Kingdom","England"
11351,"2020-06-12","Anne R Ramos","F","S","London","United Kingdom","England"
11352,"2022-05-01","Raymond A Rodriguez","M","M","Pantin","France","Seine Saint Denis"
11353,"2020-06-12","Carrie L Ortega","F","S","Warrington","United Kingdom","England"
11354,"2022-12-03","Deanna Suarez","F","M","Grevenbroich","Germany","Bayern"
11355,"2022-09-26","Roberto Gutierrez","M","M","Wokingham","United Kingdom","England"
11356,"2020-05-10","Terrence Carson","M","S","Lavender Bay","Australia","New South Wales"
11357,"2020-06-18","Ramon Ye","M","S","Caloundra","Australia","Queensland"
